id,neighbourhood,street,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,Q1 2019 AVG,Q2 2019 AVG,Q3 2019 AVG,Q4 2019 AVG,Q1 2020 AVG,Q2 2020 AVG,Q3 2020 AVG
7625212,,Swords; Dublin; Ireland,,Swords; Ireland,f,House,Private room,2,1,2,30.00,30.00,30.00,30.00,30.00,30.00,30.00
7626133,Cabra,Cabra; Dublin; Ireland,,Cabra; Ireland,t,House,Private room,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,59.00
7630788,North City Central/O'Connell Street,Dublin; Dublin; Ireland,1.00,Dublin; Ireland,t,Apartment,Entire home/apt,4,2,3,149.00,149.00,149.00,149.00,149.00,149.00,123.00
7631467,Rialto,Dublin; Dublin; Ireland,D8,Dublin; Ireland,t,Apartment,Entire home/apt,4,1,2,148.00,148.00,148.00,148.00,148.00,148.00,129.33
7634483,Docklands,Dublin; Dublin; Ireland,1.00,Dublin; Ireland,t,Apartment,Private room,2,1,1,85.00,85.00,85.00,85.00,85.00,85.00,85.00
7636508,Trinity College,Dublin; Ireland,,Dublin; Ireland,f,Townhouse,Private room,1,1,2,55.00,55.00,55.00,55.00,55.00,55.00,55.00
7641839,Dartry,Dublin; Dublin; Ireland,6.00,Dublin; Ireland,t,House,Entire home/apt,10,4,5,600.00,600.00,600.00,600.00,600.00,600.00,600.00
7642454,Old City,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Private room,1,1,1,69.00,69.00,69.00,69.00,69.00,69.00,82.33
7642809,Grafton Street/St. Stephens Green,Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
7646488,,Malahide; Dublin; Ireland,K36 D434,Malahide; Ireland,f,Apartment,Entire home/apt,4,2,3,99.00,99.00,99.00,99.00,99.00,99.00,103.00
7654702,Sandymount,Ballsbridge; Dublin; Ireland,,Ballsbridge; Ireland,t,Apartment,Entire home/apt,2,0,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
7654889,The Liberties,Dublin; Dublin; Ireland,8.00,Dublin; Ireland,t,Apartment,Entire home/apt,4,2,2,149.00,149.00,149.00,149.00,99.33,0.00,0.00
7660443,Smithfield,Dublin; Dublin; Ireland,7.00,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,95.00,95.00,95.00,95.00,95.00,95.00,95.00
7673096,Knocklyon,Dublin; Dublin; Ireland,D24Y7K4,Dublin; Ireland,f,House,Private room,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,50.00
7685828,,Stepaside; Dublin; Ireland,18.00,Stepaside; Ireland,t,Apartment,Entire home/apt,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,62.66
7691466,Trinity College,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,House,Private room,1,1,1,30.00,30.00,30.00,30.00,30.00,30.00,30.00
7692164,The Liberties,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,2,1,2,90.00,90.00,90.00,90.00,90.00,90.00,90.00
7706504,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,220.00,220.00,146.66,0.00,0.00,0.00,0.00
7706953,Monkstown,Monkstown; Co. Dublin; Ireland,,Monkstown; Ireland,t,House,Private room,2,1,2,45.00,45.00,45.00,45.00,45.00,45.00,15.00
7708290,,Skerries; Dublin; Ireland,,Skerries; Ireland,f,House,Entire home/apt,4,2,2,80.00,80.00,80.00,80.00,80.00,80.00,80.00
7713989,Knocklyon,Firhouse; Dublin; Ireland,,Firhouse; Ireland,t,House,Private room,2,1,2,45.00,45.00,45.00,45.00,45.00,45.00,45.00
7715588,Docklands,Ringsend; Dublin; Ireland,,Ringsend; Ireland,t,Apartment,Entire home/apt,4,2,2,92.66,66.00,0.00,0.00,0.00,0.00,0.00
7720612,Donnybrook,Dublin; Dublin; Ireland,D06 X896,Dublin; Ireland,f,Apartment,Private room,1,1,1,60.00,40.00,20.00,0.00,0.00,0.00,0.00
7721603,Georgian Quarter,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,70.00,70.00,70.00,70.00,70.00,70.00,70.00
7737502,Cabra,Dublin; Dublin; Ireland,7.00,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,73.33,103.33,110.00,110.00,110.00,110.00,110.00
7738695,Terenure,Terenure; County Dublin; Ireland,D6W CA25,Terenure; Ireland,t,House,Private room,2,1,1,62.00,62.00,62.00,62.00,62.00,62.00,20.66
7740402,,Sutton; Dublin; Ireland,,Sutton; Ireland,t,House,Private room,3,1,2,45.00,30.00,46.00,47.00,47.00,47.00,40.00
7743645,Cabra,Cabra; Dublin; Ireland,Dublin 7,Cabra; Ireland,t,House,Entire home/apt,4,2,3,90.00,90.00,90.00,90.00,90.00,90.00,90.00
7746093,Booterstown,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,75.00,75.00,75.00,75.00,75.00,75.00,65.00
7749107,Old City,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,4,2,2,130.00,130.00,130.00,130.00,130.00,43.33,0.00
7751629,Old City,Dublin; County Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,10,3,7,600.00,600.00,600.00,400.00,0.00,0.00,0.00
7753641,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,D7,Dublin; Ireland,f,Apartment,Entire home/apt,4,2,2,239.66,150.00,50.00,0.00,0.00,0.00,0.00
7759045,Terenure,Terenure; County Dublin; Ireland,,Terenure; Ireland,t,House,Private room,2,1,1,57.00,57.00,57.00,57.00,57.00,57.00,19.00
7759483,Terenure,Terenure; County Dublin; Ireland,,Terenure; Ireland,t,House,Private room,4,2,2,110.00,110.00,110.00,110.00,110.00,110.00,0.00
7767722,,Dublin; Dublin; Ireland,D8,Dublin; Ireland,f,House,Private room,2,1,1,120.00,120.00,120.00,40.00,0.00,0.00,0.00
7768793,Phibsborough,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,138.00,138.00,138.00,138.00,138.00,138.00,138.00
7769253,Grafton Street/St. Stephens Green,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Entire home/apt,4,1,2,200.00,133.33,66.66,66.66,133.33,66.66,66.66
7777436,Portobello,Portobello; Dublin 8; Ireland,,Portobello; Ireland,t,Apartment,Entire home/apt,2,1,1,55.00,55.00,55.00,36.66,0.00,0.00,0.00
7781066,Temple Bar,Temple Bar; Dublin; Ireland,D08 YV10,Temple Bar; Ireland,f,Apartment,Entire home/apt,4,1,2,125.00,125.00,125.00,125.00,83.33,125.00,88.00
7781693,Booterstown,Dublin; Dublin; Ireland,4.00,Dublin; Ireland,f,Apartment,Private room,2,1,1,40.00,40.00,40.00,40.00,40.00,40.00,40.00
7782606,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,80.00,80.00,80.00,80.00,80.00,80.00,80.00
7787178,Beaumont,Dublin; Dublin; Ireland,9.00,Dublin; Ireland,t,House,Entire home/apt,7,4,4,150.00,150.00,150.00,150.00,150.00,150.00,150.00
7787363,Sandymount,Dublin 4; County Dublin; Ireland,D04 EK10,Dublin 4; Ireland,t,Townhouse,Entire home/apt,4,2,2,130.00,43.33,0.00,0.00,0.00,0.00,0.00
7794292,The Liberties,Dublin; Dublin; Ireland,Dublin 8,Dublin; Ireland,f,Apartment,Entire home/apt,4,2,2,100.00,100.00,100.00,100.00,100.00,100.00,109.33
7800156,,Shankill; Dublin; Ireland,,Shankill; Ireland,t,Apartment,Entire home/apt,4,2,2,75.00,75.00,75.00,75.00,75.00,75.00,58.33
7804738,Booterstown,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,40.00,40.00,40.00,40.00,40.00,40.00,40.00
7806048,The Liberties,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,4,2,2,130.00,130.00,130.00,130.00,130.00,43.33,0.00
7806387,East Wall,Dublin; Dublin; Ireland,3.00,Dublin; Ireland,t,Apartment,Private room,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,50.00
7807303,The Liberties,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,4,2,2,130.00,130.00,130.00,130.00,130.00,43.33,0.00
7814088,Sandymount,Sandymount; Dublin; Ireland,,Sandymount; Ireland,t,House,Private room,2,1,1,70.00,70.00,70.00,70.00,70.00,70.00,70.00
7819035,Docklands,Dublin; County Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,8,2,6,350.00,350.00,233.33,233.33,350.00,0.00,0.00
7820496,Phibsborough,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
7831456,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Bungalow,Entire home/apt,4,2,2,130.00,130.00,130.00,130.00,130.00,130.00,129.33
7841127,Rathgar,Dublin; Ireland,D6,Dublin; Ireland,t,House,Private room,1,1,1,22.00,22.00,22.00,22.00,22.00,22.00,22.00
7851402,Old City,Dublin 8; Ireland,,Dublin 8; Ireland,t,Apartment,Private room,1,1,1,47.00,47.00,47.00,47.00,0.00,0.00,0.00
7854688,Rathgar,더블린; Dublin; Ireland,Dublin6,더블린; Ireland,f,Apartment,Private room,2,1,1,28.00,28.00,28.00,28.00,28.00,28.00,28.00
7855080,North City Central/O'Connell Street,Dublin; Dublin; Ireland,1.00,Dublin; Ireland,t,Condominium,Entire home/apt,4,1,2,150.00,150.00,150.00,150.00,150.00,150.00,120.00
7856689,Drumcondra,Drumcondra; Ireland,Dublin 3,Drumcondra; Ireland,t,Townhouse,Private room,2,1,2,49.00,49.00,49.00,49.00,49.00,49.00,43.00
7856912,Smithfield,Dublin 7; Dublin City; Ireland,,Dublin 7; Ireland,t,Apartment,Entire home/apt,4,2,2,150.00,150.00,150.00,150.00,150.00,150.00,150.00
7862573,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Entire home/apt,4,2,2,170.00,170.00,170.00,170.00,170.00,170.00,178.33
7862860,Raheny,Donaghmede; Dublin; Ireland,13.00,Donaghmede; Ireland,f,Apartment,Entire home/apt,4,0,3,65.00,65.00,65.00,43.33,0.00,0.00,0.00
7863252,Inchicore,Bluebell; Dublin; Ireland,Dublin 12,Bluebell; Ireland,f,House,Private room,1,1,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
7864232,Sandymount,Sandymount; Dublin; Ireland,,Sandymount; Ireland,t,Bed and breakfast,Private room,3,1,3,130.00,130.00,130.00,130.00,43.33,0.00,0.00
7869545,Drumcondra,Drumcondra; Dublin; Ireland,,Drumcondra; Ireland,t,House,Private room,2,1,1,90.00,30.00,0.00,0.00,0.00,0.00,0.00
7877032,Clondalkin,Clondalkin; Dublin; Ireland,D22 YX72,Clondalkin; Ireland,t,Chalet,Entire home/apt,3,0,2,60.00,60.00,60.00,60.00,60.00,0.00,0.00
7878322,,Dublin airport ; Dublin airport; Ireland,Dublin airport,Dublin airport ; Ireland,t,House,Private room,3,1,3,65.00,65.00,65.00,65.00,65.00,65.00,58.33
7880361,Rathgar,Rathmines; Dublin; Ireland,,Rathmines; Ireland,t,House,Private room,2,1,1,15.00,0.00,0.00,0.00,0.00,0.00,0.00
7881171,,Saggart; Dublin; Ireland,,Saggart; Ireland,f,House,Private room,2,1,1,25.00,25.00,25.00,25.00,25.00,25.00,25.00
7882182,,Lusk; Dublin; Ireland,K45 kt52,Lusk; Ireland,t,House,Private room,2,1,1,30.00,30.00,30.00,30.00,30.00,30.00,43.33
7884264,Pelletstown,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Bed and breakfast,Private room,1,1,1,98.00,98.00,65.33,0.00,0.00,0.00,0.00
7891240,The Liberties,Dublin 8; Dublin; Ireland,D08 H306,Dublin 8; Ireland,t,Apartment,Entire home/apt,2,1,1,140.00,140.00,140.00,0.00,0.00,0.00,0.00
7891946,Ranelagh and Rathmines,Rathmines; Dublin; Ireland,D6,Rathmines; Ireland,f,Apartment,Entire home/apt,2,1,1,65.00,65.00,65.00,65.00,65.00,65.00,65.00
7892144,Ringsend/Irishtown,Ringsend; Dublin; Ireland,,Ringsend; Ireland,t,House,Entire home/apt,4,2,2,140.00,140.00,140.00,140.00,140.00,140.00,0.00
7892233,Rathgar,Rathmines; Dublin; Ireland,,Rathmines; Ireland,t,House,Private room,1,1,1,11.33,0.00,0.00,0.00,0.00,0.00,0.00
7895839,Ringsend/Irishtown,Ringsend; Dublin; Ireland,,Ringsend; Ireland,t,House,Private room,2,1,1,80.00,80.00,80.00,80.00,80.00,80.00,0.00
7897006,,Dublin; Dublin; Ireland,7.00,Dublin; Ireland,t,Cabin,Entire home/apt,3,2,2,33.33,0.00,0.00,0.00,0.00,0.00,0.00
7905624,Ranelagh and Rathmines,Ranelagh; Dublin; Ireland,,Ranelagh; Ireland,t,House,Entire home/apt,4,2,2,170.00,170.00,170.00,170.00,170.00,170.00,170.00
7907541,Booterstown,Dublin; Ireland; Ireland,Na,Dublin; Ireland,f,Apartment,Entire home/apt,3,2,2,80.00,80.00,80.00,80.00,80.00,80.00,80.00
7914345,Crumlin,Drimnagh; Dublin; Ireland,,Drimnagh; Ireland,t,Apartment,Entire home/apt,5,2,2,120.00,120.00,120.00,123.33,130.00,130.00,136.00
7917447,Ballyfermot,Dublin; Dublin; Ireland,10.00,Dublin; Ireland,f,House,Entire home/apt,4,2,2,80.00,80.00,80.00,80.00,80.00,80.00,80.00
7921756,,Newcastle; Dublin; Ireland,D22TV09,Newcastle; Ireland,f,Townhouse,Private room,1,1,1,46.66,45.00,45.00,45.00,45.00,45.00,45.00
7929311,Knocklyon,Knocklyon; Dublin; Ireland,,Knocklyon; Ireland,t,House,Entire home/apt,4,2,2,89.00,89.00,89.00,89.00,89.00,89.00,89.00
7933630,Castleknock,castleknock; Dublin; Ireland,15.00,castleknock; Ireland,t,House,Private room,2,1,1,55.00,45.00,55.00,55.00,55.00,0.00,0.00
7945589,Docklands,Dublin; County Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,6,2,3,350.00,350.00,233.33,350.00,233.33,0.00,0.00
7946909,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,7.00,Dublin; Ireland,t,House,Entire home/apt,2,1,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7948611,Old City,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,55.00,55.00,55.00,55.00,55.00,55.00,57.00
7953778,Blackrock,Dublin; Dublin; Ireland,Dublin,Dublin; Ireland,f,Serviced apartment,Entire home/apt,4,2,2,49.00,110.00,165.00,165.00,165.00,165.00,165.00
7954546,North City Central/O'Connell Street,Dublin 1; Ireland,,Dublin 1; Ireland,t,Apartment,Entire home/apt,4,2,2,120.00,120.00,120.00,120.00,120.00,120.00,162.33
7960421,Georgian Quarter,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Entire home/apt,3,2,2,88.33,89.00,90.00,90.00,91.66,90.66,85.33
7968526,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Villa,Entire home/apt,7,4,7,220.00,220.00,220.00,220.00,73.33,0.00,0.00
8001186,Dundrum,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,43.00,43.00,43.00,43.00,43.00,43.00,42.33
8003265,,Sutton; Dublin; Ireland,,Sutton; Ireland,t,Castle,Entire home/apt,4,2,2,220.00,220.00,220.00,220.00,220.00,220.00,254.00
8004399,,Clondalkin; Dublin; Ireland,,Clondalkin; Ireland,t,House,Entire home/apt,6,3,3,140.00,0.00,0.00,0.00,0.00,0.00,0.00
8005215,Kilmainham,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
8005634,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,2,59.00,59.00,59.00,59.00,59.00,59.00,60.33
8006507,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Shared room,2,1,2,55.00,45.00,55.00,55.00,55.00,0.00,0.00
8011178,Smithfield,Smithfield; Dublin; Ireland,7.00,Smithfield; Ireland,t,Apartment,Entire home/apt,6,3,3,225.00,150.00,225.00,225.00,225.00,225.00,238.33
8019732,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00
8040999,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,39.00,39.00,39.00,39.00,39.00,39.00,39.00
8043185,,Sutton; Dublin; Ireland,,Sutton; Ireland,t,House,Private room,1,1,1,47.00,39.00,39.00,39.00,39.00,39.00,39.00
8068083,Artane,Artane; Dublin; Ireland,5.00,Artane; Ireland,f,House,Private room,1,1,1,35.00,35.00,35.00,35.00,35.00,35.00,35.00
8075602,Old City,Dublin; Ireland; Ireland,2.00,Dublin; Ireland,f,Apartment,Entire home/apt,2,1,1,90.00,90.00,90.00,90.00,90.00,90.00,86.00
8080563,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Entire home/apt,12,5,8,250.00,250.00,250.00,250.00,271.00,271.00,279.66
8086322,Grafton Street/St. Stephens Green,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,4,1,1,139.00,139.00,92.66,0.00,0.00,0.00,0.00
8088575,Rathgar,Rathgar; Dublin; Ireland,D6,Rathgar; Ireland,t,Apartment,Entire home/apt,3,1,1,80.00,0.00,0.00,0.00,0.00,0.00,0.00
8092575,,Sutton; Dublin; Ireland,,Sutton; Ireland,t,House,Private room,1,1,1,42.00,42.00,42.00,42.00,42.00,42.00,42.00
8104760,Clontarf,Dublin; Dublin; Ireland,5.00,Dublin; Ireland,f,Apartment,Entire home/apt,2,1,1,55.00,36.66,18.33,0.00,0.00,0.00,0.00
8110645,Phibsborough,Dublin; Dublin; Ireland,D 1,Dublin; Ireland,t,Apartment,Private room,2,1,1,40.00,40.00,40.00,40.00,40.00,40.00,40.00
8111927,,Swords; Dublin; Ireland,,Swords; Ireland,f,House,Private room,2,1,1,40.00,40.00,40.00,40.00,40.00,40.00,40.00
8126541,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Bed and breakfast,Private room,2,1,1,48.00,48.00,32.00,0.00,0.00,0.00,0.00
8127317,Docklands,Dublin; Dublin 2; Ireland,,Dublin; Ireland,t,Serviced apartment,Private room,2,1,1,81.33,0.00,0.00,0.00,0.00,0.00,0.00
8137470,The Liberties,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,110.00,110.00,110.00,110.00,110.00,110.00,114.00
8156378,Ranelagh and Rathmines,Ranelagh; Dublin; Ireland,,Ranelagh; Ireland,t,House,Private room,4,1,2,91.00,91.00,91.00,91.00,91.00,91.00,95.66
8161178,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Townhouse,Private room,2,1,,33.00,33.00,33.00,33.00,33.00,33.00,36.33
8161512,Docklands,Dublin; Dublin; Ireland,D01 HT72,Dublin; Ireland,f,Loft,Entire home/apt,2,1,,100.00,100.00,100.00,100.00,100.00,100.00,81.33
8167813,Smithfield,Dublin; Dublin; Ireland,Dublin 07,Dublin; Ireland,f,Apartment,Private room,2,1,1,45.00,30.00,0.00,30.00,15.00,0.00,0.00
8184787,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,98.00,98.00,98.00,98.00,98.00,98.00,98.00
8189259,Booterstown,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,1,1,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
8196103,North City Central/O'Connell Street,Dublin; County Dublin; Ireland,D01 NN72,Dublin; Ireland,f,Townhouse,Entire home/apt,5,2,4,70.00,70.00,193.00,193.00,193.00,193.00,185.66
8216655,North City Central/O'Connell Street,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,120.00,120.00,120.00,120.00,120.00,120.00,120.00
8221422,Georgian Quarter,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,115.00,38.33,0.00,0.00,0.00,0.00,0.00
8223747,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,100.00,100.00,66.66,0.00,0.00,0.00,0.00
8224514,,Saggart; Dublin; Ireland,24.00,Saggart; Ireland,t,House,Private room,1,1,1,45.00,45.00,45.00,45.00,45.00,45.00,61.66
8250941,Phibsborough,Dublin; Dublin; Ireland,Dublin 1,Dublin; Ireland,t,Apartment,Private room,3,1,1,76.00,76.00,76.00,76.00,76.00,76.00,75.33
8255660,Phibsborough,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,60.00
8260367,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Private room,2,1,1,75.00,75.00,75.00,75.00,75.00,75.00,75.00
8266170,,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,33.33
8266542,Smithfield,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,60.00,60.00,60.00,60.00,60.00,60.00,54.00
8271875,Rathgar,Rathgar; Dublin; Ireland,6.00,Rathgar; Ireland,t,Apartment,Entire home/apt,2,1,1,50.00,50.00,50.00,50.00,50.00,50.00,50.00
8272558,The Liberties,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,85.00,85.00,85.00,85.00,28.33,0.00,0.00
8286998,Rialto,Dublin ; Rialto; Ireland,Dublin,Dublin ; Ireland,f,Apartment,Private room,2,1,1,55.00,55.00,85.00,85.00,85.00,61.66,59.33
8292221,Terenure,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Loft,Private room,2,1,1,418.66,600.00,600.00,600.00,600.00,600.00,496.66
8292546,Terenure,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Private room,2,1,1,56.00,56.00,56.00,56.00,56.00,56.00,57.33
8308211,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,130.00,130.00,130.00,130.00,130.00,130.00,134.00
8310664,,IE; Ireland,,IE; Ireland,f,Apartment,Entire home/apt,4,2,2,90.00,90.00,120.00,123.33,130.00,130.00,111.33
8317377,,Bray; Wicklow; Ireland,,Bray; Ireland,f,Loft,Entire home/apt,2,1,1,91.00,91.00,91.00,60.66,0.00,0.00,0.00
8321636,Docklands,Dublin; Dublin; Ireland,Dublin 1,Dublin; Ireland,f,House,Entire home/apt,6,2,2,129.00,129.00,129.00,129.00,129.00,129.00,129.00
8335748,Old City,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Entire home/apt,5,2,3,78.66,33.33,0.00,0.00,0.00,0.00,0.00
8337050,East Wall,Dublin 1; Ireland,,Dublin 1; Ireland,t,Apartment,Private room,2,1,1,75.00,25.00,0.00,0.00,0.00,0.00,0.00
8338330,Ranelagh and Rathmines,Ranelagh; Dublin; Ireland,Dublin 6,Ranelagh; Ireland,t,House,Private room,2,1,1,60.00,60.00,60.00,60.00,0.00,0.00,0.00
8346463,Sandymount,Dublin; Baile Átha Cliath; Ireland,,Dublin; Ireland,t,House,Entire home/apt,2,2,2,500.00,500.00,500.00,500.00,500.00,500.00,500.00
8346947,Docklands,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Condominium,Entire home/apt,2,1,1,100.00,100.00,100.00,100.00,66.66,0.00,0.00
8347728,Kilmainham,Dublin; Dublin; Ireland,"Dublin 8Dublin 8",Dublin; Ireland,f,Apartment,Entire home/apt,2,1,1,70.00,70.00,70.00,70.00,70.00,70.00,70.00
8352687,Smithfield,Dublin; Dublin; Ireland,,Dublin; Ireland,t,Condominium,Entire home/apt,4,1,2,125.00,125.00,125.00,125.00,125.00,125.00,131.66
8355105,Blackrock,Blackrock; Dublin; Ireland,,Blackrock; Ireland,t,Condominium,Shared room,1,1,1,50.00,50.00,50.00,50.00,50.00,0.00,0.00
8361610,,Dublin; Dublin; Ireland,,Dublin; Ireland,t,House,Entire home/apt,5,3,4,95.00,95.00,95.00,95.00,95.00,95.00,95.00
8366821,Docklands,IFSC; Dublin; Ireland,D1,IFSC; Ireland,f,Apartment,Entire home/apt,4,2,2,210.00,210.00,210.00,210.00,210.00,210.00,210.00
8367825,Dundrum,Aikens Village; Dublin; Ireland,Dublin 18,Aikens Village; Ireland,f,Apartment,Private room,2,1,1,45.00,45.00,45.00,45.00,45.00,45.00,47.00
8370160,North City Central/O'Connell Street,Dublin; Dublin; Ireland,Dublin 1,Dublin; Ireland,f,Apartment,Entire home/apt,4,1,1,66.66,100.00,33.33,0.00,0.00,0.00,0.00
8370768,Grafton Street/St. Stephens Green,Dublin; Dublin; Ireland,2.00,Dublin; Ireland,t,Apartment,Private room,1,1,1,33.33,0.00,0.00,0.00,0.00,0.00,0.00
8377038,Raheny,Raheny; Dublin; Ireland,,Raheny; Ireland,t,House,Private room,1,1,1,39.00,39.00,39.00,39.00,39.00,39.00,39.00
8377301,Smithfield,Dublin; Dublin; Ireland,7.00,Dublin; Ireland,t,Apartment,Entire home/apt,16,7,19,900.00,900.00,0.00,0.00,0.00,0.00,0.00
8379987,Smithfield,Dublin; Dublin; Ireland,7.00,Dublin; Ireland,t,Boat,Private room,2,1,2,75.00,75.00,0.00,0.00,0.00,0.00,0.00
8380582,,Glenageary; Dublin; Ireland,,Glenageary; Ireland,f,House,Private room,1,1,1,40.00,40.00,40.00,40.00,40.00,40.00,40.00
8381004,Docklands,Dublin; Dublin; Ireland,Dublin 2,Dublin; Ireland,t,Apartment,Private room,2,1,1,69.00,69.00,69.00,69.00,69.00,69.00,72.33
8381293,Portobello,Dublin 8; County Dublin; Ireland,D08 R2N2,Dublin 8; Ireland,t,Apartment,Private room,2,1,1,83.33,85.00,85.00,85.00,85.00,85.00,85.00
8381482,Georgian Quarter,Dublin; County Dublin; Ireland,,Dublin; Ireland,t,Apartment,Entire home/apt,2,1,1,120.00,120.00,120.00,120.00,120.00,120.00,131.00
8382557,Terenure,Dublin; Dublin; Ireland,6.00,Dublin; Ireland,f,Apartment,Entire home/apt,1,0,1,34.00,34.00,11.33,0.00,0.00,0.00,0.00
8384749,Donnybrook,Ranelagh; Dublin; Ireland,,Ranelagh; Ireland,t,House,Private room,2,1,1,90.00,90.00,90.00,90.00,90.00,90.00,90.00
8387089,Blackrock,Dublin; Dublin; Ireland,,Dublin; Ireland,f,House,Private room,1,1,1,45.00,45.00,45.00,45.00,45.00,45.00,30.00
8393264,Drumcondra,Drumcondra; Dublin; Ireland,D9,Drumcondra; Ireland,f,Bed and breakfast,Private room,2,1,1,40.00,40.00,26.66,0.00,0.00,0.00,0.00
8397692,Portobello,Dublin; Dublin; Ireland,D8,Dublin; Ireland,f,Apartment,Entire home/apt,3,1,2,65.00,65.00,65.00,65.00,43.33,21.66,23.33
8399632,Stoneybatter/Arbour Hill,Dublin; Dublin; Ireland,,Dublin; Ireland,f,Apartment,Private room,2,1,1,49.00,49.00,49.00,49.00,49.00,49.00,49.00
